date,regime,raw_branch,m1_c_sma50,m2_sma50_sma200,m3_sma200_slope,atr_pct,hi_vol_thresh,atr_pct_rank,high_vol_flag
2022-01-25,high_vol,chop,-0.06430610006865822,0.05031039097228707,0.014945089609125217,0.019393524296467565,0.013736863202321597,1.0,True
2022-01-26,high_vol,chop,-0.06528913748561949,0.04853386619603972,0.014243882433638166,0.02055549377882186,0.013772565966309476,1.0,True
2022-01-27,high_vol,chop,-0.06845044451875415,0.04666279966397546,0.013522713731816571,0.02119277608429108,0.013792799827412857,1.0,True
2022-01-28,high_vol,chop,-0.04418650420324388,0.045118824428079796,0.012905851310434757,0.02149390620491425,0.013826844890503119,1.0,True
2022-01-31,high_vol,chop,-0.02620339884038736,0.04390952382243496,0.012312216905813633,0.021267747837568154,0.013867509705836509,0.9961389961389961,True
2022-02-01,high_vol,chop,-0.018910901211399822,0.04270667827536334,0.011722963373751227,0.020671067696655852,0.013929507961503128,0.9884615384615385,True
2022-02-02,high_vol,chop,-0.008885036298623805,0.04165396907521335,0.011257554086902655,0.019817345495260506,0.01404945848342691,0.9808429118773946,True
2022-02-03,high_vol,chop,-0.03130074229346158,0.04034874869132943,0.0106960665191429,0.02070645168404871,0.014138534327743967,0.9885496183206107,True
2022-02-04,high_vol,chop,-0.02592215018730437,0.03904205469397448,0.010185084229713537,0.02056218236608138,0.014205543197074056,0.9809885931558935,True
2022-02-07,high_vol,chop,-0.028112296206930454,0.037684267871187505,0.009654080883918281,0.019975799624313964,0.014243708460672931,0.9734848484848485,True
2022-02-08,high_vol,chop,-0.01977364409701321,0.03693248382260439,0.009234700498951476,0.019458858926372623,0.014257753739211542,0.9660377358490566,True
2022-02-09,high_vol,chop,-0.00512159938977419,0.03614688289361623,0.008841108478054194,0.018891730305447163,0.014263902904776025,0.9586466165413534,True
2022-02-10,high_vol,chop,-0.02273003101981741,0.03549336542562043,0.008329638299213071,0.019534024381510764,0.014280738907368955,0.9662921348314607,True
2022-02-11,high_vol,chop,-0.04158193162387969,0.03480340539342297,0.007780854432623663,0.020556652113100177,0.014374914230798364,0.9776119402985075,True
2022-02-14,high_vol,chop,-0.04395057340753161,0.03372290978548431,0.007294591804896555,0.020169432382932343,0.014452973757026857,0.9702602230483272,True
2022-02-15,high_vol,chop,-0.02822271279439237,0.033068927589883446,0.007038553291523142,0.01959397230951011,0.014487811165625412,0.9592592592592593,True
2022-02-16,high_vol,chop,-0.02661656626243436,0.03216047380955689,0.006868998078297661,0.019152857081207533,0.014518668933773361,0.9446494464944649,True
2022-02-17,high_vol,chop,-0.04611124351684759,0.030508788687577226,0.006652487613327596,0.019836710494485016,0.014522714579806664,0.9632352941176471,True
2022-02-18,high_vol,chop,-0.050825628473089024,0.02874599307171022,0.0064884434503005295,0.019664994021166386,0.014552646011508883,0.9560439560439561,True
2022-02-22,high_vol,chop,-0.05949956452839689,0.0270058118781773,0.006249922930890994,0.020395594032494958,0.01457503949723468,0.9708029197080292,True
2022-02-23,high_vol,chop,-0.07420490668108326,0.02476550052860471,0.006035455416528279,0.021296930792579542,0.014589719810033373,0.9963636363636363,True
2022-02-24,high_vol,chop,-0.058691662728980964,0.022882529976592014,0.0059613487589731395,0.022504439365444148,0.014629760227648931,1.0,True
2022-02-25,high_vol,chop,-0.03683842736342591,0.02135979187751058,0.006101890584473857,0.022074319644750987,0.014642684084705405,0.9963898916967509,True
